Title,Year,Genre,Director,Duration,IMDB,ID
Friday The 13th – IV,1984,Horror|Mystery|Thriller,Joseph Zito,91,6.0,347
Friday The 13th – V,1985,Horror|Mystery|Thriller,Danny Steinmann,92,4.8,348
Friday The 13th – VI,1986,Horror|Mystery|Thriller,Tom McLoughlin,86,6.0,349
Friday The 13th – VII,1988,Horror|Mystery|Thriller,John Carl Buechler,88,5.3,350
Friday The 13th – VIII,1989,Horror|Mystery|Thriller,Rob Hedden,100,4.6,351
Jason X,2001,Horror|Mystery|Thriller,Jamie Isaac,91,4.4,352
Freddy Vs Jason,2003,Horror|Mystery|Thriller,Ronny Yu,97,5.7,353
Friday The 13th – The Last Episode,2009,Horror|Mystery|Thriller,Marcus Nispel,97,5.5,354
From Dusk Till Dawn I,1996,Action|Crime|Horror,Robert Rodriguez,108,7.2,355
From Dusk Till Dawn II,1999,Crime|Horror|Thriller,Scott Spiegel,88,4.1,356
From Paris With Love,2010,Action|Crime|Thriller,Pierre Morel,92,6.5,357
Fugitive,1993,Action|Crime|Drama,Andrew Davis,130,7.8,358
Full English Breakfast,2014,Action|Crime|Mystery,Manish Patel,115,2.5,359
Full Metal Jacket,1987,Drama|War,Stanley Kubrick,116,8.3,360
Funny People,2009,Comedy|Drama,Judd Apatow,146,6.3,361
Fyllefesten,2014,Comedy,Nicolas Benamou,85,6.8,362
Gamer,2009,Action|Sci-Fi|Thriller,Mark Neveldine,95,5.8,363
Gangs Of New York,2002,Crime|Drama,Martin Scorsese,167,7.5,364
Gangster Playboys Retribution,2013,Crime,Paul Tanter,82,4.1,365
Gangster Squad,2013,Action|Crime|Drama,Ruben Fleischer,113,6.7,366
Get Him To The Greek,2010,Comedy|Music,Nicholas Stoller,109,6.4,367
Get Rich Or Die Trying,2005,Biography|Crime|Drama,Jim Sheridan,117,5.4,368
Ghost Dog – Samurajernas Väg,1999,Action|Crime|Drama,Jim Jarmusch,116,7.5,369
Girl Next Door (Komedi),2004,Comedy|Drama|Romance,Luke Greenfield,109,6.7,370
Girl Next Door (Skräck),2007,Crime|Drama|Horror,Gregory Wilson,91,6.6,371
Gladiator,2000,Action|Adventure|Drama,Ridley Scott,155,8.5,372
Godfather – Part I,1972,Crime|Drama,Francis Ford Coppola,175,9.2,373
Godfather – Part II,1974,Crime|Drama,Francis Ford Coppola,202,9.0,374
Godfather – Part III,1990,Crime|Drama,Francis Ford Coppola,162,7.6,375
Going The Distance,2010,Comedy|Romance,Nanette Burstein,102,6.3,376
Gone Baby Gone,2007,Crime|Drama|Mystery,Ben Affleck,114,7.6,377
Gone In 60 Seconds,2000,Action|Crime|Thriller,Dominic Sena,118,6.5,378
Good Luck Chuck,2007,Comedy|Romance,Mark Helfrich,96,5.6,379
Good Will Hunting,1997,Drama|Romance,Gus Van Sant,126,8.3,380
Gotti,2018,Biography|Crime|Drama,Kevin Connolly,112,4.8,381
Graduate,1967,Comedy|Drama|Romance,Mike Nichols,106,8.0,382
Gran Torino,2008,Drama,Clint Eastwood,116,8.1,383
Grand Seduction,2013,Comedy,Don McKellar,113,7.0,384
Grannpatrullen,2012,Comedy|Sci-Fi,Akiva Schaffer,102,5.7,385
Gravedancers,2006,Horror,Mike Mendez,95,5.5,386
Gravity,2013,Drama|Sci-Fi|Thriller,Alfonso Cuaron,91,7.7,387
Grease,1978,Musical|Romance,Randal Kleiser,110,7.2,388
Great Gatsby,2013,Drama|Romance,Baz Luhrmann,143,7.2,389
Green Lantern,2011,Action|Adventure|Sci-Fi,Martin Campbell,114,5.5,390
Green Street Hooligans,2005,Crime|Drama|Sport,Lexi Alexander,109,7.5,391
Grudge Match,2013,Comedy|Drama|Sport,Peter Segal,113,6.4,392
Gräsklipparmannen,1992,Horror|Sci-Fi,Brett Leonard,108,5.5,393
Guard,2011,Comedy|Crime|Thriller,John Michael McDonagh,96,7.3,394
Guess Who,2005,Comedy|Romance,Kevin Rodney Sullivan,105,5.9,395
Guest,2014,Action|Comedy|Crime,Adam Wingard,100,6.7,396
Hacksaw Ridge,2016,Biography|Drama|History,Mel Gibson,139,8.1,397
Hairspray,2007,Comedy|Drama|Musical,Adam Shankman,117,6.6,398
Halloween,1978,Horror|Thriller,John Carpenter,91,7.8,399
Hamilton,1998,Action|Adventure|Crime,Harald Zwart,127,5.9,400
Happy Gilmore,1996,Comedy|Sport,Dennis Dugan,92,7.0,401
Hard Candy,2005,Drama|Thriller,David Slade,104,7.1,402
Harley And The Davidsons,2016,Biography,,60,8.2,403
Harsh Times,2005,Action|Crime|Drama,David Ayer,116,6.9,404
Hatchet,2006,Comedy|Horror|Thriller,Adam Green,85,5.7,405
Hatchet II,2010,Comedy|Horror|Thriller,Adam Green,85,5.5,406
Haven,2004,Crime|Drama,Frank E. Flowers,115,5.8,407
He Was A Quiet Man,2007,Drama|Romance|Thriller,Frank A. Cappello,95,6.8,408
Head Of State,2003,Comedy,Chris Rock,95,5.5,409
Heat,1995,Crime|Drama|Thriller,Michael Mann,170,8.2,410
Hellraiser,1987,Horror|Thriller,Clive Barker,94,7.0,411
Hercules,2014,Action|Adventure|Fantasy,Brett Ratner,98,6.0,412
Here Comes The Boom,2012,Action|Comedy|Sport,Frank Coraci,105,6.4,413
Hills Have Eyes,2006,Horror|Thriller,Alexandre Aja,107,6.4,414
Hip Hip Hora,2004,Comedy|Drama,Teresa Fabik,90,5.2,415
Hitch,2005,Comedy|Romance,Andy Tennant,118,6.6,416
Hitchcock,2012,Biography|Drama|Romance,Sacha Gervasi,98,6.8,417
Hitman,2007,Action|Crime|Thriller,Xavier Gens,100,6.3,418
Hollywood Gigolo,1999,Comedy|Romance,Mike Mitchell,88,5.7,419
Hong Kong Knights,2003,Action|Crime|Thriller,Benny Chan,100,5.9,420
Hopplös Och Hatad Av Alla,2008,Biography|Comedy|Drama,Robert B. Weide,110,6.4,421
Horrible Bosses,2011,Comedy|Crime,Seth Gordon,98,6.9,422
Hostage,2005,Action|Crime|Drama,Florent-Emilio Siri,113,6.6,423
Hostel I,2005,Horror,Eli Roth,94,5.9,424
Hostel II,2007,Horror,Eli Roth,94,5.5,425
Hot Tub Time Machine,2010,Comedy|Sci-Fi,Steve Pink,101,6.4,426
Hot Tub Time Machine II,2015,Comedy|Sci-Fi,Steve Pink,93,5.1,427
Hotel Rwanda,2004,Biography|Drama|History,Terry George,121,8.1,428
House Of 1000 Corpses,2003,Horror,Rob Zombie,89,6.1,429
House On Haunted Hill,1999,Horror|Mystery|Thriller,William Malone,93,5.6,430
How Do You Know,2010,Comedy|Drama|Romance,James L. Brooks,121,5.4,431
Human Stain,2003,Drama|Romance|Thriller,Robert Benton,106,6.2,432
Human Trafficking,2005,Crime|Drama|Mystery,Cristian Duguay,176,7.6,433
Hundraåringen Som Klev Ut Genom Fönstret Och Försvann,2013,Adventure|Comedy,Felix Herngren,114,7.1,434
Hunger,2008,Biography|Drama,Steve McQueen,96,7.6,435
Hunger Games I,2012,Action|Adventure|Sci-Fi,Gary Ross,142,7.2,436
Hunger Games II,2013,Action|Adventure|Sci-Fi,Francis Lawrence,146,7.5,437
Hunger Games III,2014,Action|Adventure|Sci-Fi,Francis Lawrence,123,6.6,438
Hunger Games IV,2015,Action|Adventure|Sci-Fi,Francis Lawrence,137,6.5,439
Hunted,2003,Action|Crime|Drama,William Friedkin,94,6.1,440
Hur Många Lingon Finns Det I Världen,2011,Comedy|Drama|Music,Lena Koppel,101,6.0,441
Husk,2011,Horror|Thriller,Brett Simmons,83,5.2,442
Hypnos,2004,Drama|Horror|Thriller,David Carreras,93,5.4,443
Hypnotisören,2012,Crime|Drama|Thriller,Lasse Hallström,122,5.6,444
I Am Legend,2007,Adventure|Drama|Sci-Fi,Francis Lawrence,101,7.2,445
I Kina Spiser De Hunde,1999,Action|Comedy|Crime,Lasse Spang Olsen,91,7.4,446
I Know Who Killed Me,2007,Crime|Drama|Mystery,Chris Sivertson,105,3.6,447
I Min Vildaste Fantasi,2010,Comedy|Romance,Jim Field Smith,104,6.4,448
I Robot,2004,Action|Drama|Sci-Fi,Alex Proyas,115,7.1,449
I Spit On Your Grave,2010,Horror|Thriller,Steven R. Monroe,108,6.3,450
I Spit On Your Grave II,2013,Horror|Thriller,Steven R. Monroe,106,5.7,451
Imitation Game,2014,Biography|Drama|Thriller,Morten Tyldum,114,8.0,452
Inception,2010,Action|Adventure|Sci-Fi,Christopher Nolan,148,8.8,453
Infestation,2009,Action|Adventure|Comedy,Kyle Rankin,91,5.9,454
Inglourious Basterds,2009,Adventure|Drama|War,Quentin Tarantino,153,8.3,455
Innkeepers,2011,Drama|Horror|Mystery,Ti west,101,5.4,456
Inside Man,2006,Crime|Drama|Mystery,Spike Lee,129,7.6,457
Into The Blue,2005,Action|Adventure|Crime,John Stockwell,110,5.9,458
Into The Wild,2007,Action|Biography|Drama,Sean Penn,148,8.1,459
Irene Huss – Tatuerad Torso,2010,Crime|Drama|Thriller,Martin Asphaug,87,5.6,460
Iron Man,2008,Action|Adventure|Sci-Fi,Jon Favreau,126,7.9,461
Iron Man II,2010,Action|Adventure|Sci-Fi,Jon Favreau,124,7.0,462
Irreversible,2002,Crime|Drama|Mystery,Gaspar Noe,97,7.4,463
Italian Job,2003,Action|Crime|Thriller,F. Gary Gray,111,7.0,464
It Follows,2014,Horror|Mystery|Thriller,David Robert Mitchell,100,6.8,465
Jack Ryan: Shadow Recruit,2014,Action|Drama|Thriller,Kenneth Branagh,105,6.2,466
Jagten På Lykke,2006,Biography|Drama,Gabriele Muccino,117,8.0,467
Jalla Jalla,2000,Comedy|Drama|Romance,Josef Fares,88,6.7,468
James Bond - Dr No,1962,Action|Adventure|Thriller,Terence Young,110,7.3,469
James Bond - Ur Dödlig Synvinkel,1981,Action|Adventure|Thriller,John Glen,127,6.8,470
James Bond - Goldeneye,1995,Action|Adventure|Thriller,Martin Campbell,130,7.2,471
James Bond - Tomorrow Never Dies,1997,Action|Adventure|Thriller,Roger Spottiswoode,119,6.5,472
James Bond - The World Is Not Enough,1999,Action|Adventure|Thriller,Michael Apted,128,6.4,473
James Bond - Die Another Day,2002,Action|Adventure|Thriller,Lee Tamahori,133,6.1,474
James Bond - Casino Royale,2006,Action|Adventure|Thriller,Martin Campbell,144,8.0,475
James Bond - Quantum Of Solace,2008,Action|Adventure|Thriller,Marc Forster,106,6.6,476
Jarhead,2005,Action|Biography|Drama,Sam Mendes,125,7.0,477
Jiddra Inte Med Zohan,2008,Comedy,Dennis Dugan,113,5.5,478
Johan Falk - #2 Vapenbröder,2009,Action|Crime|Thriller,Anders Nilsson,93,6.6,479
Johan Falk - #3 National Target,2009,Action|Crime|Thriller,Richard Holm,95,6.6,480
Johan Falk - #7 Spelets Regler,2012,Action|Crime|Thriller,Charlotte Brändström,96,6.5,481
Johan Falk - #8 De 107 Patrioterna,2012,Action|Crime|Thriller,Anders Nilsson,92,6.5,482
Johan Falk - #11 Barninfiltratören,2012,Action|Crime|Thriller,Richard Holm,93,6.7,483
Johan Glans – Det Bleka Hotet,2011,Comedy,Johan Glans,100,8.3,484
John Tucker Must Die,2006,Comedy|Romance,Betty Thomas,89,5.8,485
Just Go With It,2011,Comedy|Romance,Dennis Dugan,117,6.4,486
Just Like Heaven,2005,Comedy|Drama|Fantasy,Mark Waters,95,6.7,487
K 19 The Widowmaker,2002,Drama|History|Thriller,Kathryn Bigelow,138,6.7,488
Kaboom,2010,Comedy|Mystery|Romance,Gregg Araki,86,5.7,489
Kicking And Screaming,2005,Comedy|Family|Romance,Jesse Dylan,95,5.6,490
Kill Bill I,2003,Action|Crime|Thriller,Quentin Tarantino,111,8.1,491
Kill Bill II,2004,Action|Crime|Thriller,Quentin Tarantino,137,8.0,492
Kill List,2011,Crime|Drama|Horror,Ben Wheatley,95,6.4,493
Killer Inside Me,2010,Crime|Drama|Thriller,Michael Winterbottom,109,6.1,494
Kim Novak Badade Aldrig I Genesarets Sjö,2005,Crime|Drama,Martin Asphaug,95,6.5,495
Kingdom,2007,Action|Drama|Thriller,Peter Berg,110,7.0,496
Kingdom Of Heaven,2005,Action|Adventure|Drama,Ridley Scott,144,7.2,497
Kingpin,1996,Comedy|Sport,Bobby Farrelly,114,6.9,498
King's Speech,2010,Biography|Drama|History,Tom Hooper,118,8.0,499
Kiss Kiss Bang Bang,2005,Action|Comedy|Crime,Shane Black,103,7.5,500
Kocken,2005,Drama,Mats Arehn,116,5.7,501
Kopps,2003,Action|Comedy,Josef Fares,90,6.7,502
Kvarteret Skatan Reser Till Laholm,2012,Comedy,Mikael Syrén,84,5.2,503
Kvinnan I Rummet,2013,Crime|Mystery|Thriller,Mikkel Nörgaard,96,7.2,504
Känn Ingen Sorg,2013,Drama|Music|Romance,Måns Mårlind,109,7.1,505
Lad Den Rette Komme Ind,2008,Drama|Horror|Romance,Tomas Alfredson,114,7.9,506
Land Of The Lost,2009,Action|Adventure|Comedy,Brad Silberling,102,5.3,507
Last House On The Left,2009,Horror|Thriller,Dennis Iliadis,110,6.5,508
Last King Of Scotland,2006,Biography|Drama|History,Kevin MacDonald,123,7.7,509
Last Samurai,2003,Action|Drama|War,Edward Zwick,154,7.7,510
Lazarus Project,2008,Drama|Mystery|Thriller,John Glen,100,6.1,511
Leende Guldbruna Ögon,2007,Comedy|Drama,Cecilia Norman Mardell,180,6.6,512
Letters From Iwo Jima,2006,Action|Adventure|Drama,Clint Eastwood,141,7.9,513
Limitless,2011,Sci-Fi|Thriller,Neil Burger,105,7.4,514
Lock Stock And Two Smoking Barrels,1998,Comedy|Crime,Guy Ritchie,107,8.2,515
Lone Ranger,2013,Action|Adventure|Comedy,Gore Verbinski,150,6.4,516
Lone Survivor,2013,Action|Biography|Drama,Peter Berg,121,7.5,517
Looper,2012,Action|Adventure|Crime,Rian Johnson,113,7.4,518
Lord Of War,2005,Action|Crime|Drama,Andrew Niccol,122,7.6,519
Lottery Ticket,2010,Comedy,Erik White,99,5.0,520
Love - Angels And Airwaves,2011,Drama|Music|Sci-Fi,William Eubank,84,5.5,521
Love Actually,2003,Comedy|Drama|Romance,Richard Curtis,135,7.6,522
Lucky Number Slevin,2006,Crime|Drama|Mystery,Paul McGuigan,110,7.7,523
Luther,2003,Biography|Drama|History,Eric Till,123,6.5,524
Mad Max – Road Warrior,1981,Action|Adventure|Sci-Fi,George Miller,96,7.6,525
Mad Max – Fury Road,2015,Action|Adventure|Sci-Fi,George Miller,120,8.1,526
Maffiabröder,1990,Biography|Crime|Drama,Martin Scorsese,146,8.7,527
Mama,2013,Horror|Thriller,Andy Muschietti,100,6.2,528
Man On The Moon,1999,Biography|Comedy|Drama,Milos Forman,118,7.4,529
Mandela - Vägen Till Frihet,2013,Biography|Drama|History,Justin Chadwick,141,7.1,530
Maneater,2009,Horror,Michael Emanuel,92,4.1,531
Matrix,1999,Action|Sci-Fi,Lana Wachowski,136,8.7,532
Matrix Reloaded,2003,Action|Sci-Fi,Lana Wachowski,138,7.2,533
Maze Runner,2014,Action|Mystery|Sci-Fi,Wes Ball,113,6.8,534
Mean Girls,2004,Comedy,Mark Waters,97,7.0,535
Meet The Parents,2000,Comedy|Romance,Jay Roach,108,7.0,536
Meet The Fockers,2004,Comedy|Romance,Jay Roach,115,6.3,537
Little Fockers,2010,Comedy|Romance,Paul Weitz,98,5.5,538
Mega Shark Vs Giant Octopus,2009,Action|Adventure|Comedy,Jack Perez,88,2.5,539
Memento,2000,Mystery|Thriller,Christopher Nolan,113,8.4,540
Men In Black I,1997,Action|Adventure|Comedy,Barry Sonnenfeld,98,7.3,541
Men In Black II,2002,Action|Adventure|Comedy,Barry Sonnenfeld,88,6.2,542
Men In Black III,2012,Action|Adventure|Comedy,Barry Sonnenfeld,106,6.8,543
Men Who Stares At Goats,2009,Comedy|War,Grant Heslov,94,6.2,544
Messengers,2007,Horror|Thriller,Danny Pang,90,5.4,545
Michael Jackson Story,2009,Documentary|Biography,Sonia Anderson,46,6.5,546
Midnight Run,1988,Action|Comedy|Crime,Martin Brest,126,7.5,547
Mig Äger Ingen,2013,Drama,Kjell-Åke Andersson,104,6.8,548
Million Dollar Baby,2004,Drama|Sport,Clint Eastwood,132,8.1,549
Mission Impossible I,1996,Action|Adventure|Thriller,Brian De Palma,110,7.1,550
Mission Impossible II,2000,Action|Adventure|Thriller,John Woo,123,6.1,551
Mission Impossible III,2006,Action|Adventure|Thriller,J. J. Abrams,126,6.9,552
Mission Impossible - Ghost Protocol,2011,Action|Adventure|Thriller,Brad Bird,132,7.4,553
Mitt Stora Feta Grekiska Bröllop,2002,Comedy|Drama|Romance,Joel Zwick,95,6.5,554
Mona Lisas Leende,2003,Drama,Mike Newell,117,6.5,555
Monster,2003,Biography|Crime|Drama,Patty Jenkins,109,7.3,556
Monster's Ball,2001,Drama|Romance,Marc Forster,111,7.0,557
Morden Vid Wolf Creek,2005,Horror|Thriller,Greg McLean,99,6.2,558
Mordkommissionen,2000,Action|Crime|Drama,Unknown,75,8.2,559
Mother Of Tears,2007,Drama|Horror|Thriller,Dario Argento,102,5.1,560
Motorsågsmassakern,1974,Horror,Tobe Hooper,83,7.5,561
Mun Mot Mun,2005,Drama,Björn Runge,94,6.1,562
My Bloody Valentine,2009,Horror|Mystery|Thriller,Patrick Lussier,101,5.4,563
My Boss's Daughter,2003,Comedy|Romance,David Zucker,86,4.7,564
München,2005,Action|Drama|History,Steven Spielberg,164,7.5,565
Mystic River,2003,Crime|Drama|Mystery,Clint Eastwood,138,7.9,566
Män Som Hatar Kvinnor I,2009,Crime|Drama|Mystery,Nils Arden Oplev,152,7.8,567
Män Som Hatar Kvinnor II,2009,Crime|Drama|Mystery,Daniel Alfredson,129,7.2,568
Män Som Hatar Kvinnor III,2009,Crime|Drama|Mystery,Daniel Alfredson,147,7.3,569
Narnia,2005,Adventure|Family|Fantasy,Andrew Adamson,143,6.9,570
Natural Born Killers,1994,Action|Crime|Drama,Oliver Stone,118,7.3,571
Nerve,2016,Action|Crime|Drama,Henry Joost,96,6.5,572
New World,2005,Biography|Drama|History,Terrence Malick,135,6.7,573
New Year's Eve,2011,Comedy|Romance,Garry Marshall,118,5.7,574
Night And The City,1992,Comedy|Crime|Drama,Irwin Winkler,105,5.8,575
Nightmare Before Christmas,1993,Animation|Family|Fantasy,Henry Selick,76,8.0,576
Ninth Gate,1999,Mystery|Thriller,Roman Polanski,133,6.7,577
No Country For Old Men,2007,Crime|Drama|Thriller,Ethan Coen,122,8.1,578
No-Do,2009,Horror|Mystery,Elio Quiroga,94,5.3,579
No Escape,2012,Action|Drama|Mystery,Ruba Nadda,93,5.2,580
No Strings Attached,2011,Comedy|Romance,Ivan Reitman,108,6.2,581
Noah,2014,Action|Adventure|Drama,Darren Aronofsky,138,5.8,582
Not Another Teen Movie,2001,Comedy,Joel Gallen,89,5.7,583
Number 23,2007,Crime|Mystery|Thriller,Joel Schumacher,98,6.4,584
Nun,2005,Drama|Horror|Thriller,Luis de la Madrid,101,4.0,585
Nyckeln Till Frihet,1994,Drama,Frank Darabont,142,9.3,586
O Brother Where Art Thou?,2000,Adventure|Comedy|Crime,Joel Coen,107,7.7,587
Oblivion,2013,Action|Adventure|Sci-Fi,Joseph Kosinski,124,7.0,588
Oceans Eleven,2001,Crime|Thriller,Steven Soderbergh,116,7.7,589
Oceans Twelve,2004,Crime|Thriller,Steven Soderbergh,125,6.5,590
Oceans Thirteen,2007,Crime|Thriller,Steven Soderbergh,122,6.9,591
Offside,2006,Comedy|Drama|Sport,Mårten Klingberg,103,5.8,592
Old School,2003,Comedy,Todd Phillips,88,7.1,593
Olympus Has Fallen,2013,Action|Thriller,Antoine Fuqua,119,6.5,594
Omen,2006,Horror|Thriller,John Moore,110,5.5,595
Once,2007,Drama|Music|Romance,John Carney,86,7.8,596
Once Upon A Time In Mexico,2003,Action|Crime|Thriller,Robert Rodriguez,102,6.4,597
Ondskan,2003,Drama,Mikael Håfström,113,7.8,598
One Flew Over The Cuckoos Nest,1975,Drama,Milos Forman,133,8.7,599
One Hour Photo,2002,Drama|Thriller,Mark Romanek,96,6.8,600
One Missed Call,2008,Horror|Mystery,Eric Valette,87,4.0,601
One Night At McCool's,2001,Comedy|Crime,Harald Zwart,93,6.1,602
Other Guys,2010,Action|Comedy|Crime,Adam McKay,107,6.6,603
Other Woman,2009,Drama,Don Roos,102,6.3,604
Ouija,2014,Horror|Mystery|Thriller,Stiles White,89,4.5,605
Pain & Gain,2013,Action|Comedy|Crime,Michael Bay,129,6.4,606
Panic Button,2011,Horror|Thriller,Chris Crow,96,5.3,607
Panic Room,2002,Crime|Drama|Thriller,David Fincher,112,6.8,608
Papillon,1973,Biography|Crime|Drama,Franklin J. Schaffner,151,8.0,609
Paranormal Activity III,2011,Horror|Mystery|Thriller,Henry Joost,83,5.8,610
Passion Of The Christ,2004,Drama,Mel Gibson,127,7.2,611
Pearl Harbor,2001,Action|Drama|History,Michael Bay,183,6.2,612
Perfect Man,2005,Comedy|Family|Romance,Mark Rosnan,100,5.5,613
Perfect Stranger,2007,Crime|Horror|Mystery,James Foley,109,5.7,614
Phantom,2013,Drama|History|Thriller,Todd Robinson,98,5.9,615
Phonebooth,2002,Crime|Thriller,Joel Schumacher,81,7.0,616
Pianisten,2002,Biography|Drama|Music,Roman Polanski,150,8.5,617
Piranha,2010,Comedy|Horror,Alexandre Aja,88,5.4,618
Pirates Of The Caribbean I - Svarta Pärlans Förbannelse,2003,Action|Adventure|Fantasy,Gore Verbinski,143,8.0,619
Pirates Of The Caribbean II - Död Mans Kista,2006,Action|Adventure|Fantasy,Gore Verbinski,151,7.3,620
Pirates Of The Caribbean III - Vid Världens Ände,2007,Action|Adventure|Fantasy,Gore Verbinski,169,7.1,621
Pirates Of The Caribbean IIII - I Främmande Farvatten,2011,Action|Adventure|Fantasy,Rob Marshall,137,6.6,622
Planet Terror,2007,Action|Adventure|Comedy,Robert Rodriguez,105,7.1,623
Pledge This,2006,Comedy,William Heins,91,1.8,624
Populärmusik Från Vittula,2004,Comedy|Drama,Reza Bagher,105,6.5,625
Power Rangers,2017,Action|Adventure|Sci-Fi,Dean Israelite,124,5.9,626
Prom Night,1980,Horror|Thriller,Paul Lynch,92,5.4,627
Prom Night,2008,Horror|Mystery,Nelson McCormick,88,3.9,628
Proof Of Life,2000,Action|Drama|Thriller,Taylor Hackford,135,6.2,629
Public Enemies,2009,Biography|Crime|Drama,Michael Mann,140,7.0,630
Pulp Fiction,1994,Crime|Drama,Quentin Tarantino,154,8.9,631
Punisher,2004,Action|Crime|Drama,Jonathan Hensleigh,124,6.4,632
Purge,2013,Horror|Thriller,James DeMonaco,85,5.7,633
Purpose,2002,Drama,Alan Ari Lazar,96,5.4,634
På Smällen,2007,Comedy|Romance,Judd Apatow,129,6.9,635
Racer And The Jailbird,2017,Crime|Drama|Romance,Michael R. Roskam,130,6.3,636
Rain Man,1988,Drama,Barry Levinson,133,8.0,637
Rambo,2008,Action|Thriller,Sylvester Stallone,92,7.0,638
Rancid,2004,Action|Crime|Thriller,Jack Ersgard,108,5.4,639
Rat Race,2001,Adventure|Comedy,Jerry Zucker,112,6.4,640
Reaping,2007,Horror|Thriller,Stephen Hopkins,99,5.6,641
Recycle,2006,Fantasy|Horror|Mystery,Danny Pang,108,6.1,642
Reeker,2005,Horror|Mystery|Thriller,Dave Payne,90,5.2,643
Reservoir Dogs,1992,Crime|Drama|Thriller,Quentin Tarantino,99,8.3,644
Return To Sender,2004,Drama|Thriller,Billie August,109,6.4,645
Riget I,1994,Comedy|Drama|Fantasy,Lars Von Trier,278,8.3,646
Riget II,1997,Comedy|Drama|Fantasy,Lars Von Trier,297,8.3,647
Ring,1998,Horror|Mystery,Hideo Nakata,96,7.2,648
R I P D,2013,Action|Adventure|Comedy,Robert Schwentke,96,5.6,649
Risky Business – Föräldrafritt,1983,Comedy|Crime|Drama,Paul Brickman,99,6.8,650
Road To Perdition,2002,Crime|Drama|Thriller,Sam Mendes,117,7.7,651
Road Trip,2000,Comedy,Todd Phillips,93,6.4,652
Rock,1996,Action|Adventure|Thriller,Michael Bay,136,7.4,653
Rocky Balboa,2006,Action|Drama|Sport,Sylvester Stallone,102,7.1,654
Rovdyr,2008,Horror,Patrik Syversen,78,5.1,655
Ruins,2008,Fantasy|Horror|Thriller,Carter Smith,90,5.8,656
Rumor Has It,2005,Comedy|Drama|Romance,Rob Reinar,97,5.5,657
Runaway Bride,1999,Comedy|Romance,Garry Marshall,116,5.5,658
Safe House,2012,Action|Thriller,Daniel Espinosa,115,6.7,659
Sagan Om Ringen – Härskarringen,2001,Action|Adventure|Drama,Peter Jackson,178,8.8,660
Sagan Om De Två Tornen,2002,Action|Adventure|Drama,Peter Jackson,179,8.7,661
Sagan Om Konungens Återkomst,2003,Action|Adventure|Drama,Peter Jackson,201,8.9,662
Sahara,2005,Action|Adventure|Comedy,Breck Eisner,124,6.0,663
Salt,2010,Action|Mystery|Thriller,Phillip Noyce,100,6.4,664
Saving Christmas,2013,Family,Benjamin Gourley,86,4.8,665
Saving Private Ryan,1998,Drama|War,Steven Spielberg,169,8.6,666
Saw I,2004,Horror|Mystery,James Wan,103,7.6,667
Saw II,2005,Horror|Mystery,Darren Lynn Bousman,93,6.6,668
Saw III,2006,Horror|Mystery,Darren Lynn Bousman,108,6.2,669
Saw IV,2007,Horror|Mystery,Darren Lynn Bousman,93,5.9,670
Saw V,2008,Horror|Mystery,David Hackl,92,5.8,671
Saw VI,2009,Horror|Mystery,Kevin Greutert,90,6.0,672
Saw VII,2010,Horror|Mystery,Kevin Greutert,90,5.6,673
Scarecrow,2013,Action|Horror|Thriller,Sheldon Wilson,86,4.1,674
Scarface,1983,Crime|Drama,Brian De Palma,170,8.3,675
Scary Movie,2000,Comedy,Keenen Ivory Wayans,88,6.2,676
Scary Movie II,2001,Comedy,Keenen Ivory Wayans,83,5.3,677
Scary Video,2000,Comedy|Horror,John Blanchard,86,4.0,678
Schindler's List,1993,Biography|Drama|History,Steven Spielberg,195,8.9,679
Score,2001,Crime|Drama|Thriller,Frank Oz,124,6.8,680
Scorpion King,2002,Action|Adventure|Fantasy,Chuck Russell,92,5.5,681
Scream,1996,Action|Adventure|Horror,Wes Craven,111,7.2,682
Scream II,1997,Action|Adventure|Horror,Wes Craven,120,6.2,683
Scream III,2000,Action|Adventure|Horror,Wes Craven,116,5.6,684
Scream IV,2011,Action|Adventure|Horror,Wes Craven,111,6.1,685
Sea Wolf,2009,Adventure|Drama|Romance,Mike Barker,180,6.4,686
Secret Window,2004,Drama|Mystery|Thriller,David Koepp,96,6.6,687
See No Evil,2006,Crime|Drama|Thriller,Chris Menaul,180,7.2,688
Semi Pro,2008,Comedy|Sport,Kent Alterman,91,5.8,689
Setup,2011,Action|Crime|Drama,Mike Gunther,85,4.4,690
Seven,1995,Crime|Drama|Mystery,David Fincher,127,8.6,691
Seven Pounds,2008,Drama,Gabriele Muccino,123,7.6,692
Sex Tape,2014,Comedy|Romance,Jake Kasdan,94,5.1,693
Shaft,2000,Action|Crime|Thriller,John Singleton,99,5.9,694
Shakalen,1997,Action|Crime|Drama,Michael Caton-Jones,124,6.4,695
Shanghai Noon,2000,Action|Adventure|Comedy,Tom Dey,110,6.6,696
She's All That,1999,Comedy|Romance,Robert Iscove,95,5.9,697
She's The Man,2006,Comedy|Romance|Sport,Andy Fickman,105,6.3,698
Shining,1980,Drama|Horror,Stanley Kubrick,146,8.4,699
Shrooms,2007,Comedy|Horror|Mystery,Paddy Breathnach,84,4.7,700
Shutter,2008,Horror|Mystery|Thriller,Masayuki Ochiai,85,5.2,701
Shutter Island,2010,Mystery|Thriller,Martin Scorsese,138,8.1,702
Signal,2007,Horror|Sci-Fi|Thriller,David Bruckner,103,6.1,703
Silent Hill,2006,Horror,Christophe Gans,125,6.5,704
