Title,Year,Genre,Director,Duration,IMDB,ID
Assault On Precinct 13,2005,Action|Crime|Drama,Jean-Francois Richet,109,6.3,85
Attack On Wall Street     ,2013,Action|Crime|Thriller,Uwe Boll,99,6.0,86
Autumn Blood,2013,Drama|Thriller,Markus Blunder,100,5.3,87
Avatar     ,2009,Action|Adventure|Fantasy,James Cameron,162,7.8,88
Aviator,2004,Biography|Drama,Martin Scorsese,170,7.5,89
Axed,2012,Drama|Horror|Thriller,Ryan Lee Driscoll,84,3.7,90
Babas Bilar,2006,Action|Comedy,Rafael Edholm,90,4.7,91
Babycall,2011,Horror|Thriller,Pål Sletaune,96,5.7,92
Babylon A.D,2008,Action|Adventure|Sci-Fi,Mathieu Kassovitz,90,5.6,93
Bad Boys,1983,Crime|Drama|Thriller,Rick Rosenthal,105,7.2,94
Bad Boys II,2003,Action|Comedy|Crime,Michael Bay,147,6.6,95
Bad Karma,2012,Thriller,Suri Krishnamma,87,4.5,96
Bad Lieutenant,2009,Crime|Drama,Werner Herzog,122,6.6,97
Bad Teacher,2011,Comedy|Romance,Jake Kasdan,92,5.6,98
Bagman    ,2014,Action|Crime|Drama,David Grovic,108,5.2,99
Bandaged,2009,Mystery|Romance|Thriller,Maria Beatty,92,4.7,100
Bang Bang You're Dead,2002,Crime|Drama|Thriller,Guy Ferland,93,7.8,101
Bangkok Hilton,1989,Drama|Thriller,Ken Cameron,251,7.9,102
Barely Legal,2011,Comedy,Jose Montesinos,89,3.2,103
Basic,2003,Action|Crime|Drama,John McTiernan,98,6.5,104
Basic Instinct,1992,Drama|Mystery|Thriller,Paul Verhoeven,127,7.0,105
Batman Begins   ,2005,Action|Adventure,Christopher Nolan,140,8.2,106
Batman - Dark Knight  ,2008,Action|Crime|Drama,Christopher Nolan,152,9.0,107
Batman - Dark Knight Rises,2012,Action|Adventure,Christopher Nolan,164,8.4,108
Battle Of Red Cliff,2008,Action|Adventure|Drama,John Woo,146,7.4,109
Battle Royale,2000,Adventure|Drama|Sci-Fi,Kinji Fukasaku,114,7.6,110
Be Cool         ,2005,Comedy|Crime|Drama,F. Gary Gray,118,5.6,111
Beach,2000,Adventure|Drama|Romance,Danny Boyle,119,6.7,112
Bean,1997,Adventure|Comedy|Family,Mel Smith,89,6.5,113
Beck – Lockpojken #1,1997,Crime|Drama|Mystery,Pelle Seth,94,6.1,114
Beck - Mannen Med Ikonerna #2,1997,Crime|Drama|Mystery,Pelle Seth,91,5.6,115
Beck – Vita Nätter #3,1998,Crime|Drama|Mystery,Kjell Sundvall,85,5.8,116
Beck – Öga För Öga #4,1998,Crime|Drama|Mystery,Kjell Sundvall,90,6.1,117
Beck - Pensionat Pärlan #5,1998,Crime|Drama|Mystery,Kjell Sundvall,86,5.7,118
Beck - Monstret #6,1998,Crime|Drama|Mystery,Harald Hamrell,87,6.0,119
Beck - The Money Man #7,1998,Crime|Drama|Mystery,Harald Hamrell,87,6.4,120
Beck – Spår I Mörker #8,1998,Crime|Drama|Mystery,Morten Arnfred,88,6.1,121
Beck – Hämndens Pris #9,2003,Crime|Drama|Mystery,Kjell Sundvall,96,6.4,122
Beck – Mannen Utan Ansikte #10,2005,Crime|Drama|Mystery,Harald Hamrell,90,6.1,123
Beck – Kartellen #11,2001,Crime|Drama|Mystery,Kjell Sundvall,88,5.8,124
Beck - Enslingen #12,2005,Crime|Drama|Mystery,Kjell Sundvall,90,5.9,125
Beck – Okänd Avsändare #13,2005,Crime|Drama|Mystery,Harald Hamrell,90,5.9,126
Beck – Annonsmannen #14,2003,Crime|Drama|Mystery,Daniel Lind Lagerlöf,88,6.1,127
Beck - Pojken I Glaskulan #15,2005,Crime|Drama|Mystery,Daniel Lind Lagerlöf,88,5.9,128
Beck - Sista Vittnet #16,2002,Crime|Drama|Mystery,Harald Hamrell,105,6.2,129
Beck - Skarpt Läge #17,2010,Crime|Drama|Mystery,Harald Hamrell,91,6.3,130
Beck - Flickan I Jordkällaren #18,2006,Crime|Drama|Mystery,Harald Hamrell,85,5.8,131
Beck - Gamen #19,2006,Crime|Drama|Mystery,Kjell Sundvall,88,5.5,132
Beck - Advokaten #20,2006,Crime|Drama|Mystery,Kjell Sundvall,90,6.0,133
Beck - Den Japanska Shungamålningen #21,2007,Crime|Drama|Mystery,Kjell Sundvall,90,5.7,134
Beck - Den Svaga Länken #22,2010,Crime|Drama|Mystery,Harald Hamrell,93,6.2,135
Beck - Det Tysta Skriket #23,2007,Crime|Drama|Mystery,Harald Hamrell,93,6.1,136
Beck - I Guds Namn #24,2007,Crime|Drama|Mystery,Kjell Sundvall,90,6.3,137
Beck - I Stormens Öga #25,2009,Crime|Drama|Mystery,Harald Hamrell,88,5.9,138
Beck - Levande Begravd #26,2009,Crime|Drama|Mystery,Harald Hamrell,90,6.5,139
Bedragaren,2012,Drama|Thriller,Nicholas Jarecki,107,6.6,140
Behind The Mask,2006,Comedy|Horror|Thriller,Scott Glosserman,92,6.7,141
Believers,2007,Horror|Mystery|Thriller,Daniel Myrick,102,5.2,142
Belägringen,1998,Action|Thriller,Edward Zwick,116,6.4,143
Beowulf,2007,Animation|Action|Adventure,Robert Zemeckis,115,6.2,144
Berättelsen Om Pi        ,2012,Adventure|Drama|Fantasy,Ang Lee,127,7.9,145
Beverly Hills Cop,1984,Action|Comedy|Crime,Martin Brest,105,7.3,146
Beverly Hills Cop II,1987,Action|Comedy|Crime,Tony Scott,100,6.5,147
Beverly Hills Cop III,1994,Action|Comedy|Crime,John Landis,104,5.6,148
Big Boss,1971,Action|Crime|Drama,Wei Lo,100,7.1,149
Big Lebowski        ,1998,Comedy|Crime|Sport,Joel Cohen,117,8.1,150
Black Dahlia,2006,Crime|Drama|Mystery,Brian De Palma,121,5.6,151
Black Hawk Down,2001,Drama|History|War,Ridley Scott,144,7.7,152
Blade I,1998,Action|Horror|Sci-Fi,Stephen Norrington,120,7.1,153
Blade II,2002,Action|Fantasy|Horror,Guillermo del Toro,117,6.7,154
Blades Of Glory,2007,Comedy|Sport,Josh Gordon,93,6.3,155
Blind Side,2009,Biography|Drama|Sport,John Lee Hancock,129,7.6,156
Blodsbröder,2005,Crime|Drama,Daniel Fridell,90,2.8,157
Blood Creek,2009,Horror,Joel Schumacher,90,5.3,158
Blood Diamond,2006,Adventure|Drama|Thriller,Edward Zwick,143,8.0,159
Blue In The Face,1995,Comedy,Wayne Wang,83,6.7,160
Blue Streak,1999,Action|Comedy|Crime,Les Mayfield,93,6.3,161
Body Of Lies,2008,Action|Drama|Thriller,Ridley Scott,128,7.1,162
